"V1"	"V2"
"ev:E00123"	"Atractylodes lancea rhizome (JP16)"
"ev:E00124"	"Mulberry bark (JP16)"
"ev:E00125"	"Sappan wood (JP16)"
"ev:E00126"	"Perilla herb (JP16)"
"ev:E00127"	"Rheum palmatum, Rheum tanguticum rhizome"
"ev:E00128"	"Jujube (JP16)"
"ev:E00129"	"Alisma rhizome (JP16)"
"ev:E00130"	"Panax rhizome (JP16)"
"ev:E00131"	"Anemarrhena rhizome (JP16)"
"ev:E00132"	"Uncaria hook (JP16)"
"ev:E00133"	"Polyporus sclerotium"
"ev:E00134"	"Citrus unshiu peel (JP16)"
"ev:E00135"	"Gastrodia tuber (JP16)"
"ev:E00136"	"Asparagus tuber (JP16)"
"ev:E00137"	"Benincasa seed (JP16)"
"ev:E00138"	"Japanese angelica root (JP16)"
"ev:E00139"	"Peach kernel (JP16)"
"ev:E00140"	"Eucommia bark (JP16)"
"ev:E00141"	"Picrasma wood (JP16)"
"ev:E00142"	"Panax ginseng root"
"ev:E00143"	"Lonicera leaf and stem (JP16)"
"ev:E00144"	"Fritillaria bulb (JP16)"
"ev:E00145"	"Ophiopogon tuber (JP16)"
"ev:E00146"	"Honey (JP16) Honey, purified (NF)"
"ev:E00147"	"Glehnia root (JP16)"
"ev:E00148"	"Pinellia tuber (JP16)"
"ev:E00149"	"Angelica dahurica root (JP16)"
"ev:E00150"	"Atractylodes rhizome (JP16)"
"ev:E00151"	"Loquat leaf (JP16)"
"ev:E00152"	"Areca (JP16)"
"ev:E00153"	"Poria sclerotium (JP16)"
"ev:E00154"	"Processed aconitum carmicha daughter root"
"ev:E00155"	"Sinomenium stem (JP16)"
"ev:E00156"	"Imperata rhizome (JP16)"
"ev:E00157"	"Saposhnikovia root (JP16)"
"ev:E00158"	"Moutan bark (JP16)"
"ev:E00159"	"Oyster shell (JP16)"
"ev:E00160"	"Ephedra herb (JP16)"
"ev:E00161"	"Digenea (JP16)"
"ev:E00162"	"Hemp fruit (JP16)"
"ev:E00163"	"Akebia stem (JP16)"
"ev:E00164"	"Saussurea root (JP16)"
"ev:E00165"	"Bitter cardamon (JP16)"
"ev:E00166"	"Bear bile (JP16)"
"ev:E00167"	"Coix seed (JP16) Coix extract"
"ev:E00168"	"Longgu (JP16)"
"ev:E00169"	"Japanese gentian (JP16)"
"ev:E00170"	"Alpinia offcinarum rhizome (JP16)"
"ev:E00171"	"Nelumbo seed (JP16)"
"ev:E00172"	"Rosin (JP16) Colofonium"
"ev:E00173"	"Scopolia rhizome (JP16)"
"ev:E00174"	"Epimedium herb (JP16)"
"ev:E00175"	"Uva ursi fluidextract (JP16)"
"ev:E00176"	"Polygonatum rhizome (JP16)"
"ev:E00177"	"Glycyrrhiza extract (JP16) Crude glycyrrhiza extract (JP16)"
"ev:E00178"	"Platycodon fluidextract (JP16)"
"ev:E00179"	"Dolichos seed (JP16)"
"ev:E00180"	"Eleutherococcus senticosus rhizome (JP16) Eleuthero Siberian ginseng"
"ev:E00181"	"Exsiccated gypsum (JP16)"
"ev:E00182"	"Clove oil (JP16/NF)"
"ev:E00183"	"Cinnamomum sieboldii bark"
"ev:E00184"	"Nux vomica extract (JP16)"
"ev:E00185"	"Pyrethrum extract (USP) Chrysanthemum cinerariaefolium extract"
"ev:E00186"	"Aralia rhizome (JP16) Dokkatsu"
"ev:E00187"	"Lilium bulb (JP16) Lily bulb Byakugo"
"ev:E00188"	"Pogostemon herb (JP16)"
"ev:E00189"	"Donkey glue (non-JP) Asini corii collas Ass hide glue Akyo"
"ev:E00190"	"Cherry bark (JP16) Pruni jamasakura cortex Ohi"
"ev:E00191"	"Artemisia leaf (JP16) Artemisiae folium Gaiyo"
"ev:E00192"	"Aluminum silicate hydrate with silicon dioxide (JP16) Hydrated halloysite Talcum crystallinum Kasseki"
"ev:E00193"	"Trichosanthes seed (non-JP) Trichosanthis semen Karonin"
"ev:E00194"	"Citrus peel (non-JP) Kippi"
"ev:E00195"	"Crataegus fruit (JP16) Crataegi fructus Sanzashi"
"ev:E00196"	"Peucedanum root (JP16) Peucedani radix Zenko"
"ev:E00197"	"Cicada slough (non-JP) Cicada larva exuvia Cicadae periostracum Zentai"
"ev:E00198"	"Bamboo culm (non-JP) Bambusae caulis Tikujyo"
"ev:E00199"	"Arisaema tuber (non-JP) Arisaematis tuber Tennansho"
"ev:E00200"	"Quercus bark (JP16) Quercus acutissima bark Quercus cortex Bokusoku Oak bark"
"ev:E00201"	"Leonurus herb (JP16) Leonuri herba Yakumoso"
"ev:E00202"	"Longan aril (JP16) Longan arillus Ryuganniku"
"ev:E00203"	"Persimmon calyx (non-JP) Kaki calyx Persimmon calyx"
"ev:E00204"	"Scrophularia root (non-JP) Scroplulariae radix Ningpo figwort root"
"ev:E00205"	"Aster root (non-JP) Aster root and rhizome Asteris radix"
"ev:E00206"	"Myrobalan fruit (non-JP) Myrobalan Chebulae fructus"
"ev:E00207"	"Lonicera flower (non-JP) Lonicera flower bud Lonicerae flos"
"ev:E00208"	"Adenophora root (non-JP) Adenophrae radix"
"ev:E00209"	"Earthworm (non-JP) Lumbricus"
"ev:E00210"	"Acorus gramineus rhizome (non-JP) Acori graminei rhizoma"
"ev:E00211"	"Areca pericarp (non-JP) Areca fruit peel Arecae pericarpium"
"ev:E00212"	"Myrica rubra bark (non-JP) Myrica bark Myricae cortex Myricae cortex pulveratus"
"ev:E00213"	"Shrub chaste tree fruit (non-JP) Vitex fruit Viticis fructus"
"ev:E00214"	"Chaenomeles sinensis fruit"
"ev:E00215"	"Isodon herb (non-JP) Rabdosia herb Plectranthi herba"
"ev:E00216"	"Aralia elata root bark (non-JP) Araliae cortex"
"ev:E00217"	"Nandina fruit (non-JP) Nandinae fructus"
"ev:E00218"	"Prunus mume (non-JP) Mume fructus"
"ev:E00219"	"Nutmeg (JP16) Myristicae semen"
"ev:E00220"	"Water chestnut (non-JP) Trapae fructus"
"ev:E00221"	"Sophora japoinca flower (non-JP) Sophora japonica flower bud Sophorae flos"
"ev:E00222"	"Sophora subprostrata root (non-JP) Sophorae subprostratae radix"
"ev:E00223"	"Ligusticum sinese rhizome (non-JP) Ligusticum root and rhizome Ligustici rhizoma"
"ev:E00224"	"Perilla fruit (non-JP) Perilla frutescens fruit Perillae fructus"
"ev:E00225"	"Soft shell turtle carapace (non-JP) Amyda carapace Amydae testudo"
"ev:E00226"	"Osmorhiza rhizome (non-JP) Osmorhizae rhizoma"
"ev:E00227"	"Senna pods (non-JP) Senna fruit Sennae fructus"
"ev:E00228"	"Angelica pubescens root (non-JP) Angelicae pubescentis radix"
"ev:E00229"	"Belladonna leaf (USP)"
"ev:E00230"	"Digitalis (USP)"
"ev:E00231"	"Podophyllum (USP) Podophylum rhizome"
"ev:E00232"	"Rauwolfia serpentina (USP) Rauwolfia extract"
"ev:E00233"	"Opium tincture (JP16)"
"ev:E00234"	"Tolu balsam (USP) Tolu balsam oil"
"ev:E00235"	"Almond oil (NF) Sweet almond oil"
"ev:E00236"	"Anise oil (NF) Star anise oil (China)"
"ev:E00237"	"Caraway oil (NF)"
"ev:E00238"	"Cardamom oil (NF)"
"ev:E00239"	"Tolu balsam tincture (NF)"
"ev:E00240"	"Lemon oil (NF) Lemon tincture (NF)"
"ev:E00241"	"Peppermint oil (NF)"
"ev:E00242"	"Rose oil (NF) Bulgarian rose oil Rose otto"
"ev:E00243"	"Catharsius molossus Xylotropes dichotomus Catharsius"
"ev:E00244"	"Basil oil Sweet basil oil"
"ev:E00245"	"Bay oil"
"ev:E00246"	"Black pepper oil"
"ev:E00247"	"Rosewood oil Bois de rose oil"
"ev:E00248"	"Plantago herb extract"
"ev:E00249"	"Cinnamon twig (non-JP) Cinamomi ramulus Cinnamon branch Keishi"
"ev:E00250"	"Koi (JP16) Saccharum granorum Malt extract"
"ev:E00251"	"Brown rice (JP16) Kobei"
"ev:E00252"	"Sesame (JP16) Sesami semen Goma"
"ev:E00253"	"Tritici semen Wheat seed Shobaku"
"ev:E00254"	"Theae folium Chayo Saicha"
"ev:E00255"	"Malt (JP16) Hordei fructus germinatus Germinated barley Bakuga"
"ev:E00256"	"Aconitum carmichaeli mother root"
