"V1"	"V2"
"ev:E00515"	"Viperidae Agkistrodon halys organ Agkistrodon japonicae"
"ev:E00516"	"Agkistrodon acutus"
"ev:E00517"	"Colubridae slough (China)"
"ev:E00518"	"Solegnathus hardwickii"
"ev:E00519"	"Ambergris Ambra grisea"
"ev:E00520"	"Eretmochelys imbricata carapace Eretmochelyos carapax"
"ev:E00521"	"Cuttlefish oracle bones Sepiae os"
"ev:E00522"	"Cypraeidae shell Cypraeae concha"
"ev:E00523"	"Pearl Margarita"
"ev:E00524"	"Human placenta Hominis placenta"
"ev:E00525"	"Chicken stomach lining Galli stomachichum corium"
"ev:E00526"	"Tiger skeleton Tigridis os"
"ev:E00527"	"Blattidae Eupolyphaga"
"ev:E00528"	"Centipede Scolopendra"
"ev:E00529"	"Silkworm feces Bombycis faeces"
"ev:E00530"	"Huechys"
"ev:E00531"	"Hematophagous tabanid Tabanus"
"ev:E00532"	"Tiger beetle Mylabris"
"ev:E00533"	"Chrysomya megacephala larva Chrysomyae vermiculus"
"ev:E00534"	"Holotrichia larva Holotrichiae vermiculus"
"ev:E00535"	"Polistes, Vespa and Vespula nest Vispae nidus"
"ev:E00536"	"Protohermes grandis larva Protohermis vermiculus"
"ev:E00537"	"Stink bug Aspongopus"
"ev:E00538"	"Xylocopidae Xylocopa"
"ev:E00539"	"Zinc ore Hydrozincitum"
"ev:E00540"	"Fluorite Amethyst"
"ev:E00541"	"Mica mineral clay Halloysitum rubrum"
"ev:E00542"	"Limonit Limonitum"
"ev:E00543"	"Orpiment Orpimentum"
"ev:E00544"	"Realgar"
"ev:E00545"	"Calcite Glauberite Calcitum Glauberitum"
"ev:E00546"	"Pumice stone"
"ev:E00547"	"Porites nigrescens skeleton"
"ev:E00548"	"Chlorite schist Lapis chloriti"
"ev:E00549"	"Loess Terra flava usta"
"ev:E00550"	"Dryobalanops aromatica resin"
"ev:E00551"	"Coriandrum sativum herb"
"ev:E00552"	"Jasmine oil"
"ev:E00553"	"Neroli oil Orange flower oil"
"ev:E00554"	"Lavender oil"
"ev:E00555"	"Lavandin oil"
"ev:E00556"	"Geranium oil"
"ev:E00557"	"Citronella oil (Java)"
"ev:E00558"	"Lime oil"
"ev:E00559"	"Bergamot oil"
"ev:E00560"	"Grapefruit oil"
"ev:E00561"	"Amyris oil"
"ev:E00562"	"Bitter orange oil"
"ev:E00563"	"Cananga oil"
"ev:E00564"	"Magnolia salicifolia flower bud (Japan)"
"ev:E00565"	"Magnolia denudata flower bud (South Korea)"
"ev:E00566"	"Cinnamomum zeylanicum bark"
"ev:E00567"	"Cylindrical Cinnamon bark"
"ev:E00568"	"Bupleurum chinense root"
"ev:E00569"	"Bupleurum scorzonerifolium root"
"ev:E00570"	"Extract of wild cherry Wild cherry bark extract"
"ev:E00571"	"Bupleurum longiradiatum root"
"ev:E00572"	"Processed aconitum carmicha daughter root"
"ev:E00573"	"Processed aconitum carmicha daughter root"
"ev:E00574"	"Processed aconitum carmicha daughter root"
"ev:E00575"	"Aconitum carmichael daughter root"
"ev:E00576"	"Aconitum tuberous root"
"ev:E00577"	"Aconitum triphyllum tuberous root"
"ev:E00579"	"Processed aconitum japonicum tuberous root"
"ev:E00580"	"Aconitum coreanum tuberous root"
"ev:E00581"	"Typhonium giganteum corm"
"ev:E00582"	"Dianthus herb"
"ev:E00583"	"Dioscorea septemloba, Dioscorea futschauensis rhizome"
"ev:E00584"	"Arabian myrrh"
"ev:E00585"	"Bissabol myrrh"
"ev:E00586"	"Brassica hirta seed"
"ev:E00587"	"Brassica nigra seed"
"ev:E00588"	"Rhinoceros bicornis, Rhinoceros simus, Rhinoceros sumatrensis horn"
"ev:E00589"	"Liquidambar formosana fruit resin"
"ev:E00590"	"Thlaspi arvense herb"
"ev:E00591"	"Sonchus brachyotus herb"
"ev:E00592"	"Sonchus oleraceus, Ixeris chinensis, Paraixeris denticulata herb"
"ev:E00593"	"Acanthopanax gracilistylus root bark"
"ev:E00594"	"Acanthopanax giraldii shaft bark"
"ev:E00595"	"Euphorbia pekinensis root"
"ev:E00596"	"Tulipa edulis bulb"
"ev:E00597"	"Asarum sagittarioides herb"
"ev:E00598"	"Woodwardia unigemmata, Woodwardia japonica rhizome"
"ev:E00599"	"Changium smyrnioides root"
"ev:E00600"	"Arenaria juncea, Silene fortunei, Silene jenisensis, Gypsophila oldhamiana root"
"ev:E00601"	"Stellera chamaejasme root"
"ev:E00602"	"Euphorbia root"
"ev:E00603"	"Woodwardia rhizome"
"ev:E00604"	"Osmunda rhizome"
"ev:E00605"	"Struthiopteris niponica rhizome"
"ev:E00606"	"Sphaeropteris lepifera rhizome"
"ev:E00607"	"Orixa japonica root"
"ev:E00608"	"Mussaenda root"
"ev:E00609"	"Clerodendrum trichotomum root"
"ev:E00610"	"Clerodendrum canescens root"
"ev:E00611"	"Clerodendrum yunnanense root"
"ev:E00612"	"Hydrangea root"
"ev:E00613"	"Berberis root"
"ev:E00614"	"Dioscorea nipponica root"
"ev:E00615"	"Scilla scilloides bulb"
"ev:E00616"	"Allium macrostemon bulb"
"ev:E00617"	"Rhaponticum uniflorum root"
"ev:E00618"	"Echinops grijisii root"
"ev:E00619"	"Breea, Cirsium, Ixeris root, rhizome or herb"
"ev:E00620"	"Cirsium radix"
"ev:E00621"	"Gleditsia sinensis fruit"
"ev:E00622"	"Citrus medica flower"
"ev:E00623"	"Prunus tomentosa, Prunus triloba seed"
"ev:E00624"	"Torilis japonica fruit"
"ev:E00625"	"Carpesium abrotanoides fruit"
"ev:E00626"	"Lappula echinata fruit"
"ev:E00627"	"Amblytropis multiflora root or herb"
"ev:E00628"	"Corydalis bungeana herb"
"ev:E00629"	"Gentiana lourerii herb"
"ev:E00630"	"Polygala japonica herb"
"ev:E00631"	"Osbeckia chinensis herb"
"ev:E00632"	"Pyrola herb (Japan)"
"ev:E00633"	"Ocimum herb"
"ev:E00634"	"Euphorbia herb"
"ev:E00635"	"Rhododendron leaf"
"ev:E00636"	"Phyllostachys leaf"
"ev:E00637"	"Arenaria serpyllifolia herb"
"ev:E00638"	"Eriocaulon capitulum"
"ev:E00639"	"Millettia nitida stem"
"ev:E00640"	"Millettia dielsiana stem"
"ev:E00641"	"Sargentodoxa cuneata stem"
"ev:E00642"	"Platypleura kaempferi larva"
"ev:E00643"	"Monodon monoceros maxillary incisor"
"ev:E00644"	"Bungarus multicinctus, Elaphe moellendorffi"
"ev:E00645"	"Zaocys dhumnades"
"ev:E00646"	"Colubridae slough (Japan)"
"ev:E00647"	"Syngnathoides biaculeatus"
"ev:E00648"	"Syngnathus acus"
"ev:E00649"	"Unionidae shell"
"ev:E00650"	"Cinnamon oil (JP16) Cassia oil Chinese cinnamon oil"
"ev:E00651"	"Curcuma longa tuberous root"
"ev:E00652"	"Curcuma wenyujin rhizome"
"ev:E00653"	"Curcuma wenyujin tuberous root"
"ev:E00654"	"Curcuma tuberous root"
"ev:E00655"	"Curcuma aeruginosa tuberous root"
"ev:E00656"	"Cedarleaf oil Thuja oil"
"ev:E00657"	"Cedarwood oil (Texas)"
"ev:E00658"	"Curcuma kwangsiensis rhizome"
"ev:E00659"	"Clary sage oil"
"ev:E00660"	"Allolobophora caliginosa"
"ev:E00661"	"Coriander oil"
"ev:E00662"	"Chaenomeles speciosa fruit"
"ev:E00663"	"Galbanum oil"
"ev:E00664"	"Ginger oil"
"ev:E00665"	"Menispermum dauricum rhizome"
"ev:E00666"	"Indigofera root"
"ev:E00667"	"Ardisia crenata root"
"ev:E00668"	"Juniper oil"
"ev:E00669"	"Ardisia hortorum root"
"ev:E00670"	"Ardisia mamillata root"
"ev:E00671"	"Labdanum oil Cistus oil"
"ev:E00672"	"Processed panax ginseng root"
"ev:E00673"	"Red ginseng (South Korea)"
"ev:E00674"	"Bolboschoenus fluviatilis tuber"
"ev:E00675"	"Ligusticum sinense rhizome"
"ev:E00676"	"Ligusticum tenuissimum root and rhizome"
"ev:E00677"	"Myrrh oil"
"ev:E00678"	"Rheum officinale rhizome"
"ev:E00679"	"Rheum coreanum rhizome"
"ev:E00680"	"Nutmeg oil (Indonesia)"
"ev:E00681"	"Oakmoss oil (Yugoslavia)"
"ev:E00682"	"Olibanum oil (Arabia and Somalia) Frankincense"
"ev:E00683"	"Chrysanthemum lavandulaefolium capitulum"
"ev:E00684"	"Rheum undulatum rhizome"
"ev:E00685"	"Rheum rhaponticum rhizome"
"ev:E00686"	"Rheum emodi, Rheum spiciforme rhizome"
"ev:E00687"	"Origanum oil Oregano oil Spanish"
"ev:E00688"	"Rheum compactum, Rheum franzenbachii, Rheum collinianum rhizome"
"ev:E00689"	"Achyranthes fauriei root"
"ev:E00690"	"Cyathula officinalis root"
"ev:E00691"	"Cyathula capitata root"
"ev:E00692"	"Achyranthes obtusifolia, Achyranthes rubrofusca, Achyranthes longifolia root"
"ev:E00693"	"Achyranthes aspera, Achyranthes longifolia, Achyranthes bidentata root"
"ev:E00694"	"Cucubalus baccifer root"
"ev:E00695"	"Strobilanthes nemorosus root"
"ev:E00696"	"Cimicifuga rhizome (China)"
"ev:E00697"	"Serratula chinensis rhizome"
"ev:E00698"	"Astilbe rhizome"
"ev:E00699"	"Vladimiria souliei root"
"ev:E00700"	"Trichosanthes root (Japan)"
"ev:E00701"	"Phlomis umbrosa root"
"ev:E00702"	"Phlomis maximowiczii, Lamium album root"
"ev:E00703"	"Cirsium root"
"ev:E00704"	"White pepper"
"ev:E00705"	"Artemisia capillaris, Artemisia scoparia stem and leaf"
"ev:E00706"	"Leonurus fruit"
"ev:E00707"	"Kochia sieversiana fruit"
"ev:E00708"	"Chenopodium album fruit"
"ev:E00709"	"Chenopodium ficifolium fruit"
"ev:E00710"	"Melilotus suaveolens fruit"
"ev:E00711"	"Talc"
"ev:E00712"	"Anise oil Aniseed oil"
"ev:E00713"	"Star anise oil (Vietnam)"
"ev:E00714"	"Cedarwood oil (Virginia)"
"ev:E00715"	"Citronella oil (Ceylon)"
"ev:E00716"	"Olibanum oil (Somalia) Frankincense"
"ev:E00717"	"Orris oil"
"ev:E00718"	"Osmanthus"
"ev:E00719"	"Palmarosa oil (India)"
"ev:E00720"	"Patchouli oil"
"ev:E00721"	"Petitgrain bigarade oil Petitgrain oil"
"ev:E00722"	"Pimento berry oil Allspice oil"
"ev:E00723"	"Pine oil"
"ev:E00724"	"Roman chamomile oil Chamomile oil"
"ev:E00725"	"Rosemary oil"
"ev:E00726"	"Sage oil (Dalmatian)"
"ev:E00727"	"Sandalwood oil (East Indian)"
"ev:E00728"	"Spearmint oil"
"ev:E00729"	"Spike oil Lavender oil spike"
"ev:E00730"	"Tagetes oil"
"ev:E00731"	"Thyme oil"
"ev:E00732"	"Tobacco oil"
"ev:E00733"	"Cinnamon leaf oil"
"ev:E00734"	"Turpentine oil"
"ev:E00735"	"Vetiver oil"
"ev:E00736"	"Wintergreen oil"
"ev:E00737"	"Ylang Ylang oil"
"ev:E00738"	"Sage oil (Spanish)"
"ev:E00739"	"Dracaena resin"
"ev:E00740"	"Hypericum ascyron herb"
"ev:E00741"	"Potentilla paradoxa herb"
"ev:E00742"	"Wedelia prostrata herb"
"ev:E00743"	"Wedelia chinensis herb"
"ev:E00744"	"Zanthoxylum ailanthoides bark"
"ev:E00745"	"Kalopanax pictus bark"
"ev:E00746"	"Bombax malabaricum bark"
"ev:E00747"	"Pterocarpus resin KINO"
"ev:E00748"	"Silene herb"
"ev:E00749"	"Melastoma candidum shaft and root"
"ev:E00750"	"Glochidion shaft"
"ev:E00751"	"Dendrobium chrysanthum stem"
"ev:E00752"	"Eupatorium fortunei herb"
"ev:E00753"	"Penthorum chinense herb"
"ev:E00754"	"Eupatorium herb"
"ev:E00755"	"Potentilla chinensis herb or root"
"ev:E00756"	"Artichoke Globe artichoke"
"ev:E00757"	"Iceland moss Iceland lichen Cetraria"
"ev:E00758"	"Arnica"
"ev:E00759"	"Angelica"
"ev:E00760"	"Ginkgo Maidenhair tree"
"ev:E00761"	"Evening promrose"
"ev:E00762"	"Witch hazel"
"ev:E00763"	"Mallow flowers Blue mallow Common mallow"
"ev:E00764"	"Echinacea"
"ev:E00765"	"Elder flowers"
"ev:E00766"	"Oats"
"ev:E00767"	"Olive"
"ev:E00768"	"Orange flowers"
"ev:E00769"	"Garlic"
"ev:E00770"	"Kava"
"ev:E00771"	"Guarana"
"ev:E00772"	"Marigold"
"ev:E00773"	"Cat's claw"
"ev:E00774"	"Java tea"
"ev:E00775"	"Cranberry"
"ev:E00776"	"Grape seed"
"ev:E00777"	"Goldenseal"
"ev:E00778"	"Coltsfoot"
"ev:E00779"	"Comfrey"
"ev:E00780"	"Psylla"
"ev:E00781"	"German chamomile"
"ev:E00782"	"Horsetail"
"ev:E00783"	"Sage"
"ev:E00784"	"St. John's wort SJW"
"ev:E00785"	"Saw palmetto"
"ev:E00786"	"Soy bean"
"ev:E00787"	"Thyme"
"ev:E00788"	"Dandelion"
"ev:E00789"	"Chaste berry Chaste tree fruit"
"ev:E00790"	"Ginseng"
"ev:E00791"	"Tea tree"
"ev:E00792"	"Devil's claw"
"ev:E00793"	"Neem Margosa"
"ev:E00794"	"Bitter gourd Bitter melon"
"ev:E00795"	"Nettle Stinging nettle"
"ev:E00796"	"Birch"
"ev:E00797"	"Burdock root"
"ev:E00798"	"Red sorrel"
"ev:E00799"	"Pau D'Arco Ipe Roxo La Pacho"
"ev:E00800"	"Butterbur"
"ev:E00801"	"Passionflower Maypop"
"ev:E00802"	"Pumpkin seed"
"ev:E00803"	"Heath Heather"
"ev:E00804"	"Bilberry"
"ev:E00805"	"Feverfew"
"ev:E00806"	"Bladderwrack Sea kelp"
"ev:E00807"	"Black currant Cassis"
"ev:E00808"	"Black cohosh Black snakeroot"
"ev:E00809"	"Primrosa Cowslip"
"ev:E00810"	"Peppermint"
"ev:E00811"	"Lemon verbena"
"ev:E00812"	"Horse chestnut Conker tree"
"ev:E00813"	"Hawthorn"
"ev:E00814"	"Willow White Willow"
"ev:E00815"	"Maitake"
"ev:E00816"	"Maca"
"ev:E00817"	"Marshmallow"
"ev:E00818"	"Paraguay tea"
"ev:E00819"	"Mulberry"
"ev:E00820"	"Mullein"
"ev:E00821"	"Mistletoe"
"ev:E00822"	"Milk thistle"
"ev:E00823"	"Melilot"
"ev:E00824"	"Yarrow Milfoil"
"ev:E00825"	"Eucalayptus Blue gum"
"ev:E00826"	"Raspberry leaf"
"ev:E00827"	"Lavender"
"ev:E00828"	"Linden flower Lime tree flower"
"ev:E00829"	"Rooibos"
"ev:E00830"	"Lemon grass"
"ev:E00831"	"Lemon balm"
"ev:E00832"	"Rose"
"ev:E00833"	"Rose hip"
"ev:E00834"	"Rosemary"
"ev:E00835"	"Pelargonium root"
"ev:E00836"	"Sangre de Dragon Dragon's blood"
"ev:E00837"	"Raspberry"
"ev:E00838"	"Erionite"
"ev:E00839"	"Grapefruit juice"
"ev:E00840"	"Alcoholic beverage"
"ev:E00841"	"Tobacco"
"ev:E00842"	"Milk"
"ev:E00843"	"Coffee"
"ev:E00844"	"Aralia root (non-JP) Wakyoukatsu Araliae cordatae radix"
"ev:E00845"	"Coix fruit with involucre (non-JP) Coicis fructus cum involucris Adlay"
"ev:E00846"	"Hop strobile (non-JP) Luppuli strobilus"
"ev:E00847"	"Boschniakia herb (non-JP) Boschniakiae herba"
"ev:E00848"	"Japanese yew"
"ev:E00849"	"Civet"
