"","","","","","","","","","","","","","","","",""
2.00432137378264,2.33445375115093,2.90200289135073,4.16253453654936,3.98851436583367,3.93094903116752,2.20951501454263,2.78604121024255,2.00432137378264,2.41830129131975,2.48287358360875,2.00432137378264,3.96974197676285,3.05115252244738,2.47567118832443,3.49220145139254,2.00432137378264
2.00432137378264,2.06818586174616,2.63748972951251,2.78958071216443,2.06445798922692,3.18155777386279,2.7701152947871,2.96754797621886,2.00432137378264,2.00860017176192,3.13321945673249,2.00432137378264,2.95230800966213,3.0265332645233,2.48855071650044,3.04883008652835,2.00432137378264
2.02118929906994,2.67851837904011,3.16879202031418,3.75358305889291,3.514946005308,3.56454771175595,2.31806333496276,3.22993768590793,2.00432137378264,2.49136169383427,2.40654018043396,2.00432137378264,2.79865064544527,3.14581771449183,2.49136169383427,3.65743832270296,2.00432137378264
2.00432137378264,2.19312459835446,2.61909333062674,3.68583127462606,3.36059341356525,3.40993312333129,2.00432137378264,2.62940959910272,2.00432137378264,2.46089784275655,2.00432137378264,2.00432137378264,3.72550326885932,2.97451169273733,2.84135947045485,3.73782850589578,2.23552844690755
2.00432137378264,2.0899051114394,2.68484536164441,3.10890312766731,3.43648069500949,2.50105926221775,2.52891670027765,2.72427586960079,2.97266559226611,2.59769518592551,2.00432137378264,2.46389298898591,3.72875947516787,2.96801571399364,2.85369821177617,3.54032947479087,2.4996870826184
2.00432137378264,2.24797326636181,2.6159500516564,3.61794343482897,3.43838410703471,3.38111508070985,2.30319605742049,3.22608411597582,2.00432137378264,2.00432137378264,3.06781451116184,2.00432137378264,2.45178643552429,2.92582757462474,2.39445168082622,3.51982799377572,2.00432137378264
2.00432137378264,2.00432137378264,2.58433122436753,4.20414712521285,4.04265425316779,4.20414712521285,2.00432137378264,2.58771096501891,2.00432137378264,2.00432137378264,2.00432137378264,2.00432137378264,3.71155416825017,3.02816441942447,2.00432137378264,3.59516541479023,2.00432137378264
2.00432137378264,2.41161970596323,2.76417613239033,3.59494473669508,3.19005141775921,3.11394335230684,2.08635983067475,2.79934054945358,2.00432137378264,2.40140054078154,2.00432137378264,2.00432137378264,3.60734777676841,3.22245633667925,2.00432137378264,3.67632773388132,2.00432137378264
2.00432137378264,2.22271647114758,2.8767949762007,4.11414374967188,3.86171358757143,4.14426277376199,2.10720996964787,3.44106640663926,2.00432137378264,2.19312459835446,2.52762990087134,2.00432137378264,2.62736585659273,2.985426474083,2.00432137378264,3.61087300038005,2.07554696139253
2.00432137378264,2.19312459835446,2.78318869107526,2.00432137378264,2.00432137378264,2.00432137378264,2.43616264704076,3.23628527744803,2.59439255037543,2.22530928172586,2.69810054562339,2.00432137378264,2.76789761601809,3.07040732174012,2.69284691927723,3.21984638602436,2.53781909507327
2.00432137378264,2.00432137378264,2.42651126136458,2.89872518158949,2.0899051114394,3.1914510144649,2.00432137378264,3.20085049809108,2.00432137378264,2.14921911265538,2.00432137378264,2.00432137378264,2.17026171539496,2.79726754083072,2.00432137378264,3.45545396877863,2.00432137378264
2.00432137378264,2.00432137378264,2.1846914308176,3.91907809237607,3.62376600013393,3.72851610475977,2.48713837547719,2.23044892137827,3.16226561429802,2.45939248775923,2.03342375548695,2.00432137378264,3.39880773020326,2.87390159786446,2.61172330800734,2.7419390777292,2.00432137378264
2.00432137378264,2.30749603791321,2.89153745767256,2.00432137378264,2.00432137378264,2.00432137378264,2.00432137378264,2.85733249643127,2.00432137378264,2.1846914308176,2.00432137378264,2.00432137378264,3.70552161342267,2.8494194137969,2.86033800657099,3.67641923171836,2.00432137378264
2.00432137378264,2.26951294421792,3.17347764345299,2.9604707775343,2.7664128471124,3.28262211287806,2.51719589794997,2.93449845124357,2.00432137378264,2.16435285578444,2.91434315711944,2.00432137378264,2.19312459835446,2.93701610746481,2.55750720190566,3.18610837981321,2.00432137378264
